Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
HEARTFUL HOMES CORPORATION,,B087269,Home Plus,1301 S SEVILLE AVE,WICHITA,SEDGWICK,KS,67209,RENEE DENISE WEIR,Inspection Results and Facility Details,949-636-3287
HEARTLAND HAVEN HOME PLUS,,B059012,Home Plus,1345 CHEROKEE ROAD,INMAN,MCPHERSON,KS,67546,SABRINA BADGETT,Inspection Results and Facility Details,620-585-6908
HEARTLAND MEADOWS LLC,,B001001,Home Plus,1727 OREGON ROAD,IOLA,ALLEN,KS,66749,LESLIE NELSON WEIR,Inspection Results and Facility Details,620-228-5200
HERINGTON OPCO LLC,LEGACY AT HERINGTON,N021004,Nursing Facility,2 E ASH STREET,HERINGTON,DICKINSON,KS,67449-1662,STEPHANIE BUSH,Inspection Results and Facility Details,785-258-2283
HERITAGE AVONLEA OF OLATHE,,N046035, Assisted Living Facility,625 LINCOLN AVE,OLATHE,JOHNSON,KS,66061-2594,MEKDES ASAMINEW,Inspection Results and Facility Details,913-829-6920
HERITAGE ESTATES ASSISTED LIVING,,N039005, Assisted Living Facility,1212 HICKORY STREET,HARPER,HARPER,KS,67058-1455,CAROL MCKEE,Inspection Results and Facility Details,620-896-2646
HERITAGE GARDENS HEALTH AND REHABILITATION CENTER LLC,HERITAGE HEALTH AND REHABILITATION CENTER,N044001,Nursing Facility,700 CHEROKEE,OSKALOOSA,JEFFERSON,KS,66066,ASHLEY HARTMAN,Inspection Results and Facility Details,785-863-2108
HERITAGE HEALTH CARE CENTER,,N067005,Nursing Facility,1630 W 2ND STREET,CHANUTE,NEOSHO,KS,66720-1930,SHAUNNA TAYLOR,Inspection Results and Facility Details,620-431-4151
"HERITAGE HOME, LLC",,B099001,Home Plus,234 MANOR CIRCLE,ALMA,WABAUNSEE,KS,66401,JENNIFER NILES,Inspection Results and Facility Details,785-910-1233
HIAWATHA OPCO LLC,MAPLE HEIGHTS NURSING & REHABILITATIVE CENTER,N007005,Nursing Facility<BR> Residential Health Care Facility,302 E IOWA STREET,HIAWATHA,BROWN,KS,66434-9826,LORENE B RIEGER,Inspection Results and Facility Details,785-742-7465
HILL TOP HOUSE,,N029004,Nursing Facility<BR> Assisted Living Facility,"505 W. ELM, PO BOX 248",BUCKLIN,FORD,KS,67834-248,JUDITH K. KREGAR,Inspection Results and Facility Details,620-826-3202
HILLSDALE PLACE LLC,,B089086,Home Plus,1402 SW LANCASTER STREET,TOPEKA,SHAWNEE,KS,66604-2308,TAMMY GONZALEZ,Inspection Results and Facility Details,785-329-5169
HILLSIDE GUEST HOME,,B006003,Home Plus,1115 227TH STREET,FORT SCOTT,BOURBON,KS,66701,DEBRA RENE MORTER,Inspection Results and Facility Details,620-223-6132
HILLTOP LODGE HEALTH AND REHABILITATION CENTER LLC,HILLTOP LODGE HEALTH AND REHABILITATION CENTER,N062001,Nursing Facility<BR> Assisted Living Facility,815 N INDEPENDENCE AVENUE,BELOIT,MITCHELL,KS,67420-1639,ISAIAH SHEPARD,Inspection Results and Facility Details,785-738-3516
HILLTOP MANOR NURSING CENTER,,N048001,Nursing Facility,403 S. VALLEY STREET,CUNNINGHAM,KINGMAN,KS,67035,JAMES SPURGIN,Inspection Results and Facility Details,620-298-2781
HOEGER HOUSE,,N046073,Nursing Facility,20911 W 153RD STREET,OLATHE,JOHNSON,KS,66061,ROBERT MILLION,Inspection Results and Facility Details,913-780-9916
HOLIDAY RESORT,,N056007,Nursing Facility,2700 W 30TH STREET,EMPORIA,LYON,KS,66801-9100,MIKE KERBS,Inspection Results and Facility Details,620-343-9285
HOLIDAY RESORT OF SALINA,,N085011,Nursing Facility,2825 RESORT DRIVE,SALINA,SALINE,KS,67401,MARC HUYGHEBAERT,Inspection Results and Facility Details,785-825-2201
HOME AGAIN SENIOR LIVING LLC,,B049001,Home Plus,321 N MAIN STREET,HAVILAND,KIOWA,KS,67059,HALEY SIERRA JACKS,Inspection Results and Facility Details,620-862-5867
HOME OF THE FLINT HILLS,,N075008, Residential Health Care Facility,11771 LEGACY PLACE,ST. GEORGE,POTTAWATOMIE,KS,66535,ANGIE JONES,Inspection Results and Facility Details,785-494-2600
HOME OF THE FLINT HILLS LLC,HOME OF THE FLINT HILLS 3,N089066, Residential Health Care Facility<BR>Adult Day Care,518 E LAKELAND DR,SILVER LAKE,SHAWNEE,KS,66539,ANGIE JONES,Inspection Results and Facility Details,785-494-2600
HOME OF THE FLINT HILLS LLC,HOME OF THE FLINT HILLS 2,N075009, Residential Health Care Facility,11761 LEGACY PLACE,ST GEORGE,POTTAWATOMIE,KS,66535,ANGIE JONES,Inspection Results and Facility Details,785-494-2600
HOME PLUS OF KANSAS LLC,MEADOWLARK BRENDONWOOD,B087276,Home Plus,117 N BRENDONWOOD,WICHITA,SEDGWICK,KS,67206,ANN HOUK,Inspection Results and Facility Details,316-358-9852
"HOME PLUS OF KANSAS, LLC",MEADOWLARK LEECREST,B087147,Home Plus,1425 LEECREST STREET,WICHITA,SEDGWICK,KS,67209,ANN HOUK,Inspection Results and Facility Details,316-773-2277
"HOME PLUS OF KANSAS, LLC",MEADOWLARK CHIPPER,B087178,Home Plus,10001 W. 12TH STREET NORTH,WICHITA,SEDGWICK,KS,67212,MICHELE GLANCY,Inspection Results and Facility Details,316-773-2277
"HOME PLUS OF KANSAS, LLC",MEADOWLARK MAPLE,B087141,Home Plus,11216 W. MAPLE STREET,WICHITA,SEDGWICK,KS,67209,ANN HOUK,Inspection Results and Facility Details,316-773-2277
"HOME PLUS OF KANSAS, LLC",MEADOWLARK ROBIN,B087135,Home Plus,254 S  ROBIN ROAD,WICHITA,SEDGWICK,KS,67209,ANN HOUK,Inspection Results and Facility Details,316-773-2277
HOMESTEAD ESTATES HOME PLUS,,B088002,Home Plus,1140 S PERSHING AVE,LIBERAL,SEWARD,KS,67901,MICHELLE LOCK-GOOCH,Inspection Results and Facility Details,620-626-5672
HOMESTEAD ESTATES WICHITA OPERATIONS LLC,HOMESTEAD ESTATES WICHITA,N087048, Assisted Living Facility,10550 E. 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67206-3509,ANN BELL,Inspection Results and Facility Details,316-867-4105
HOMESTEAD HEALTH CENTER,,N087006,Nursing Facility,2133 S. ELIZABETH STREET,WICHITA,SEDGWICK,KS,67213-3403,ASHLEY MALLORY,Inspection Results and Facility Details,316-262-4473
"HOMESTEAD OF ABILENE OPERATIONS, LLC",HOMESTEAD OF ABILENE MEMORY CARE,N021007, Assisted Living Facility,1100 N VINE STREET,ABILENE,DICKINSON,KS,67410-4009,JOYE GFELLER,Inspection Results and Facility Details,785-263-7400
"HOMESTEAD OF ABILENE OPERATIONS, LLC",HOMESTEAD OF ABILENE ASSISTED LIVING,N021008, Assisted Living Facility,1102 N VINE STREET,ABILENE,DICKINSON,KS,67410-4009,JOYE GFELLER,Inspection Results and Facility Details,785-263-7400
HOMESTEAD OF AUGUSTA,,N008008, Assisted Living Facility<BR> Residential Health Care Facility,1611 FAIRWAY STREET,AUGUSTA,BUTLER,KS,67010-2246,KELLI CASTLEMAN,Inspection Results and Facility Details,316-775-1000
HOMESTEAD OF CRESTVIEW,,N087059, Assisted Living Facility,600 N. 127TH STREET EAST,WICHITA,SEDGWICK,KS,67206-2830,JAIME HOUSEMAN,Inspection Results and Facility Details,316-733-8100
HOMESTEAD OF DERBY,,N087036, Assisted Living Facility,1701 WALNUT GROVE ROAD,DERBY,SEDGWICK,KS,67037,DENISE RUTENBECK,Inspection Results and Facility Details,316-788-9600
HOMESTEAD OF EL DORADO,,N008009, Residential Health Care Facility,1650 E. 12TH AVENUE,EL DORADO,BUTLER,KS,67042,DIANE SOLORIO,Inspection Results and Facility Details,316-321-7777
"HOMESTEAD OF EMPORIA OPERATIONS, LLC",HOMESTEAD OF EMPORIA,N056012, Assisted Living Facility,1200 W 12TH AVENUE,EMPORIA,LYON,KS,66801-2557,LISA  JOHNSON,Inspection Results and Facility Details,620-582-6817
HOMESTEAD OF EUDORA OPERATIONS LLC,HOMESTEAD OF EUDORA,N023024, Assisted Living Facility,2725 CHURCH ST,EUDORA,DOUGLAS,KS,66025,DAWN HILL,Inspection Results and Facility Details,785-363-5150
"HOMESTEAD OF GIRARD OPERATIONS, LLC",HOMESTEAD OF GIRARD,N019011, Assisted Living Facility,950 W ST JOHN,GIRARD,CRAWFORD,KS,66743,DANIELLE HALL,Inspection Results and Facility Details,620-724-6760
"HOMESTEAD OF HAYS OPERATIONS, LLC",,N026010, Assisted Living Facility,2929 STERNBERG DRIVE,HAYS,ELLIS,KS,67601,KATHY DEINES,Inspection Results and Facility Details,785-628-3200
HOMESTEAD OF OVERLAND PARK OPERATIONS LLC,,N046068, Assisted Living Facility,11701 NIEMAN ROAD,OVERLAND PARK,JOHNSON,KS,66210-4310,JOYCE BLAKE,Inspection Results and Facility Details,913-345-2200
HOMESTEAD OF RUSSELL,,N084007, Assisted Living Facility,1070 E. WICHITA AVENUE,RUSSELL,RUSSELL,KS,67665-2452,ALICIA RINCON,Inspection Results and Facility Details,785-483-5882
HOMESTEAD OF SHAWNEE OPERATIONS LLC,,N046056, Assisted Living Facility,16207 MIDLAND DRIVE,SHAWNEE,JOHNSON,KS,66217,DETRES FRAZIER,Inspection Results and Facility Details,913-248-6600
HOMESTEAD OF WELLINGTON OPERATIONS LLC,HOMESTEAD OF WELLINGTON,N096009, Assisted Living Facility,500 N PLUM ST,WELLINGTON,SUMNER,KS,67152-3556,CARISILIA STROBEL-CLOUSTON,Inspection Results and Facility Details,620-326-3031
HOPE SENIOR LIVING LLC,,B023024,Home Plus,2303 OXFORD RD,LAWRENCE,DOUGLAS,KS,66049,EPHANTUS KIMORI MWANGI,Inspection Results and Facility Details,785-331-5495
HOPE SPRINGS LLC,,N100003, Residential Health Care Facility,608 N KENNEDY STREET,SHARON SPRINGS,WALLACE,KS,67758,EILEEN PORUBSKY,Inspection Results and Facility Details,785-852-4244
HORTON HOUSE,,B006004,Home Plus,1126 S HORTON,FORT SCOTT,BOURBON,KS,66701,TRISTIAN B WURTZ,Inspection Results and Facility Details,620-644-5019
HOUSATONIC PLACE,,N016004,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,1310 HOUSATONIC ST,BURLINGTON,COFFEY,KS,66839-2153,LORETTA TORRES,Inspection Results and Facility Details,620-364-2320
HULLS HAVEN,,B008006,Home Plus,401 PARKWOOD,ROSE HILL,BUTLER,KS,67133,JASON HULL,Inspection Results and Facility Details,316-218-3609
HUMBOLDT ASSISTED LIVING LLC,ARROWOOD LANE RESIDENTIAL CARE,N001007, Residential Health Care Facility,615 E. FRANKLIN,HUMBOLDT,ALLEN,KS,66748,PEGGY STRONG,Inspection Results and Facility Details,620-473-3456
HUTCHINSON OPERATOR LLC,HUTCHINSON HEALTH AND REHAB,N078006,Nursing Facility,2301 N SEVERANCE STREET,HUTCHINSON,RENO,KS,67502,BETH TOWNS,Inspection Results and Facility Details,620-662-0597
"ICT 13 SNF, LLC",REGENT PARK REHABILITATION AND HEALTHCARE,N087070,Nursing Facility,10604 E. 13TH STREET,WICHITA,SEDGWICK,KS,67206,CHRISTOPHER REA,Inspection Results and Facility Details,316-337-5450
"IGNITE MEDICAL RESORT OVERLAND PARK, LLC",,N046028,Nursing Facility,11901 ROSEWOOD DRIVE,OVERLAND PARK,JOHNSON,KS,66209-3556,BRANDY CHUKU,Inspection Results and Facility Details,913-345-1745
"IGNITE MEDICAL RESORT RAINBOW BOULEVARD, LLC",,N105017,Nursing Facility,"3910 RAINBOW BLVD, SUITE 400",KANSAS CITY,WYANDOTTE,KS,66103 2918,LAURA ROBERTS,Inspection Results and Facility Details,913-901-8462
INDEPENDENCE SENIOR LIVING LLC,CREDO SENIOR LIVING OF INDEPENDENCE,N063018, Assisted Living Facility,2120 NORTH 13TH ST,INDEPENDENCE,MONTGOMERY,KS,67301,ANNE JOHNSTON,Inspection Results and Facility Details,620-331-1400
INDEPENDENT LIVING,,B092001,Boarding Care Home,517 N MONROE STREET,SMITH CENTER,SMITH,KS,66967-1515,MICHAEL HEILAND,Inspection Results and Facility Details,785-282-3536
IRON HORSE HEALTHCARE LLC,THE HEALTHCARE RESORT OF LEAWOOD,N046096,Nursing Facility<BR> Assisted Living Facility,5401 W 143RD STREET,LEAWOOD,JOHNSON,KS,66224,PETER KAUTZ,Inspection Results and Facility Details,913-249-3600
"JEFFERSON COUNTY MEMORIAL HOSPITAL, INC",F.W. HUSTON MEDICAL CENTER,N044007, Assisted Living Facility,408 DELAWARE STREET,WINCHESTER,JEFFERSON,KS,66097-4003,MELODY KEIRNS,Inspection Results and Facility Details,913-774-4340
JEMIGRACE HOME PLUS LLC,,B046082,Home Plus,9631 DELMAR ST,OVERLAND PARK,JOHNSON,KS,66207,BETH MUIRURI,Inspection Results and Facility Details,913-271-7772
JOHNSONVILLE CARE HOME,,B105138,Home Plus,2213 N. 22ND STREET,KANSAS CITY,WYANDOTTE,KS,66104,TIFFANY JOHNSON,Inspection Results and Facility Details,913-371-0701
JOHNSONVILLE HOME LLC,,B105114,Home Plus,2419 N 22ND STREET,KANSAS CITY,WYANDOTTE,KS,66104-4612,TIFFANY JOHNSON,Inspection Results and Facility Details,913-371-3995
JOY HOME,,B096017,Home Plus,"419 N PACIFIC STREET, PO BOX 26",OXFORD,SUMNER,KS,67119,,Inspection Results and Facility Details,620-455-3224
KANSAS CHRISTIAN HOME,,N040004,Nursing Facility,1035 SE 3RD STREET,NEWTON,HARVEY,KS,67114-3904,JUSTIN HARLAND,Inspection Results and Facility Details,316-283-6600
KANSAS CITY MSA SENIOR LIVING DST,SILVERCREST AT COLLEGE VIEW,N046094, Assisted Living Facility<BR> Residential Health Care Facility,13600 WEST 110TH TERRACE,LENEXA,JOHNSON,KS,66215,AMANDA PROCTOR,Inspection Results and Facility Details,913-717-0071
KANSAS PLACE,,N043005,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,602 KANSAS AVENUE,HOLTON,JACKSON,KS,66436-1547,"LORETTA TORRES, DIRECTOR/QMRP",Inspection Results and Facility Details,785-362-6024
KANSAS SOLDIERS HOME,,N029008,Nursing Facility,"201 CUSTER, UNIT 98",FORT DODGE,FORD,KS,67843,RONALD W. FRIESS,Inspection Results and Facility Details,620-227-2121
KANSAS VETERANS HOME,,N018011,Nursing Facility<BR> Assisted Living Facility,1220 WORLD WAR II MEMORIAL DRIVE,WINFIELD,COWLEY,KS,67156-9801,ANDREA JONES,Inspection Results and Facility Details,620-221-9479
"KARAWAY, LLC",,B089091,Home Plus,1815 SW WESTWOOD CIRCLE,TOPEKA,SHAWNEE,KS,66604,MEGAN KANATZAR,Inspection Results and Facility Details,785-608-4535
KAW RIVER OPERATOR LLC,KAW RIVER CARE AND REHABILITATION CENTER,N105003,Nursing Facility,750 BLAKE STREET,EDWARDSVILLE,WYANDOTTE,KS,66111-1339,STEVEN ERSKIN,Inspection Results and Facility Details,913-422-5832
KDADS TEST FACILITY,,N089067,Long Term Care Unit<BR> Residential Health Care Facility,100 MAIN ST,TOPEKA,SHAWNEE,KS,66608,SEAN TESTING2,Inspection Results and Facility Details,111-222-3332
KDADS TEST FACILITY 1,KDADS TEST LTCU SNF/NF,H046120,Nursing Facility,24439 SW CANBERRA TERRACE #101,OVERLAND PARK,JOHNSON,KS,66212-4439,STO TESTING1,Inspection Results and Facility Details,111-222-4439
KDADS TEST FACILITY 2,KDADS TEST NF SNF/NF,H029103,Nursing Facility,6715 E LAKE HURON TRAFFICWAY,DODGE CITY,FORD,KS,67801-6715,STO TESTING2,Inspection Results and Facility Details,111-222-6715
KDADS TEST FACILITY 3,KDADS TEST SNF ONLY,N067012,Nursing Facility,327 SE TACHYON CT FL 2,CHANUTE,NEOSHO,KS,66720-0327,STO TESTING3,Inspection Results and Facility Details,111-222-0327
KDADS TEST FACILITY 4,KDADS TEST NF ONLY,N026011,Nursing Facility,9486 NW CICERO PLAZA UNIT 73,HAYS,ELLIS,KS,67601-9486,STO TESTING4,Inspection Results and Facility Details,111-222-9486
KDADS TEST FACILITY 5,KDADS TEST NFMH,N089070,Mental Health Nursing Facility,761 NE SPECTACLED CAIMAN BLVD,TOPEKA,SHAWNEE,KS,66612-0761,STO TESTING5,Inspection Results and Facility Details,111-222-0761
KEARNY COUNTY HOSPITAL,KEARNY COUNTY HOSPITAL ASSISTED LIVING,N047002, Assisted Living Facility,607 COURT PLACE,LAKIN,KEARNY,KS,67860,EMILY DILLEY,Inspection Results and Facility Details,620-355-7836
KEARNY COUNTY HOSPITAL LTCU,,H047101,Long Term Care Unit,607 COURT PL,LAKIN,KEARNY,KS,67860-9704,ROBIN ALLAMAN,Inspection Results and Facility Details,620-355-7836
"KEEPSAKE KOTTAGE, LLC",MARJORIE HOUSE,B087226,Home Plus,6412 E MARJORIE,WICHITA,SEDGWICK,KS,67206,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
"KEEPSAKE KOTTAGE, LLC",ROSE HILL HOUSE,B008005,Home Plus,15834 SW BUTLER ROAD,ROSE HILL,BUTLER,KS,67133,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
"KEEPSAKE KOTTAGE, LLC",MAIZE HOUSE,B087228,Home Plus,1411 S. MAIZE RD,WICHITA,SEDGWICK,KS,67209,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
"KEEPSAKE KOTTAGE, LLC",CHARLIE HOUSE,B087260,Home Plus,1678 N CHARLES,WICHITA,SEDGWICK,KS,67203,KEITH CAMERON,Inspection Results and Facility Details,316-650-4526
"KEEPSAKE KOTTAGE, LLC",RIVER PARK HOUSE,B087252,Home Plus,2940 W RIVER PARK DR,WICHITA,SEDGWICK,KS,67203,KARI CAMERON,Inspection Results and Facility Details,316-650-4526
KELLY HOUSE OF MERIDEN NORTH,,B044001,Home Plus,6313 HIGHWAY K-4,MERIDEN,JEFFERSON,KS,66512,JESSICA DESILETS,Inspection Results and Facility Details,785-484-0100
KELLY HOUSE OF MERIDEN SOUTH,,B044002,Home Plus,3566 62ND STREET,MERIDEN,JEFFERSON,KS,66512,JESSICA DESILETS,Inspection Results and Facility Details,785-484-2165
KENWOOD BUSINESS LLC,KENWOOD PLAZA,N093004, Residential Health Care Facility<BR> Assisted Living Facility,607 E 1ST AVENUE,ST JOHN,STAFFORD,KS,67576-2223,MISTY NEWELL,Inspection Results and Facility Details,620-549-6133
KENWOOD VIEW HEALTHCARE AND REHABILITATION CENTER LLC,KENWOOD VIEW HEALTHCARE AND REHABILITATION CENTER,N085001,Nursing Facility,900 ELMHURST BLVD,SALINA,SALINE,KS,67401,KELLEY LASWELL,Inspection Results and Facility Details,785-825-5471
KIOWA DISTRICT MANOR,,N004002C,Nursing Facility,1020 MAIN STREET,KIOWA,BARBER,KS,67070,PHILIP ANTON,Inspection Results and Facility Details,620-825-4117
KPC PROMISE SKILLED NURSING FACILITY OF OVERLAND PARK,,H046106-2,Nursing Facility,6505 W. 103RD STREET,OVERLAND PARK,JOHNSON,KS,66212-1728,PATRICIA WORS,Inspection Results and Facility Details,913-649-3701
LAKEPOINT AUGUSTA LLC,,N008005,Nursing Facility<BR> Assisted Living Facility,901 LAKEPOINT DRIVE,AUGUSTA,BUTLER,KS,67010,NICHOLAS HAVERKAMP,Inspection Results and Facility Details,316-775-6333
LAKEPOINT EL DORADO LLC,,N008002,Nursing Facility<BR> Assisted Living Facility,1313 S HIGH STREET,EL DORADO,BUTLER,KS,67042-3751,LORI DASHNER,Inspection Results and Facility Details,316-321-4140
LAKEPOINT WICHITA LLC,,N087049,Nursing Facility<BR> Residential Health Care Facility<BR> Assisted Living Facility,1315 N WEST STREET,WICHITA,SEDGWICK,KS,67203-1302,MICHAEL COLE,Inspection Results and Facility Details,316-943-1295
LAKESIDE TERRACE,,N066007,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,1100 HARRISON ST,SABETHA,NEMAHA,KS,66534-1633,DEBBIE TANGEMAN,Inspection Results and Facility Details,785-284-0005
LAKEVIEW VILLAGE,,N046007,Nursing Facility<BR> Assisted Living Facility,13840 W 91ST TERR,LENEXA,JOHNSON,KS,66215-3374,RICHARD ALAN TURLEY JR,Inspection Results and Facility Details,913-744-2475
LANSING OPERATOR LLC,LANSING CARE AND REHABILITATION CENTER,N052001,Nursing Facility,210 PLAZA DRIVE,LANSING,LEAVENWORTH,KS,66043,CARLA ROYER,Inspection Results and Facility Details,913-727-1284
LARKSFIELD PLACE,,N087031,Nursing Facility,2828 N. GOVERNEOUR STREET,WICHITA,SEDGWICK,KS,67226-3405,ALEJANDRO NIETO,Inspection Results and Facility Details,316-636-1111
LARKSFIELD PLACE ASSISTED LIVING,,N087077, Assisted Living Facility,2727 N ROCK RD,WICHITA,SEDGWICK,KS,67226,JESSICA EASTERWOOD,Inspection Results and Facility Details,316-361-2800
LAWRENCE MEMORIAL HOSPITAL SNF,,H023101,Long Term Care Unit,325 MAINE ST,LAWRENCE,DOUGLAS,KS,66044-1393,RUSS JOHNSON,Inspection Results and Facility Details,785-505-5000
LEGACY LIVING LLC,,B011004,Home Plus,445 E 10TH STREET,BAXTER SPRINGS,CHEROKEE,KS,66713,RANDY DUKE DOTSON,Inspection Results and Facility Details,620-856-2756
LEGACY ON 10TH OPCO LLC,ADVENA LIVING ON TENTH,N089004,Nursing Facility,2015 SE 10TH AVENUE,TOPEKA,SHAWNEE,KS,66607-1698,RODNEY WHITTINGTON,Inspection Results and Facility Details,785-233-8918
LEGEND AT CAPITAL RIDGE,,N089045, Assisted Living Facility,1931 SW ARVONIA PLACE,TOPEKA,SHAWNEE,KS,66615,KARI ANN VANZANT,Inspection Results and Facility Details,785-272-9400
LEISURE HOMESTEAD AT STAFFORD,,N093002,Nursing Facility<BR>Home Plus,405 GRAND AVENUE,STAFFORD,STAFFORD,KS,67578-2009,JAMES YOUNIE,Inspection Results and Facility Details,620-234-5208
"LENEXA SLP, LLC",BENTON HOUSE OF LENEXA,N046098, Assisted Living Facility,22000 PRAIRIE STAR PARKWAY,LENEXA,JOHNSON,KS,66220-7901,CAROL TSIAMES,Inspection Results and Facility Details,913-839-4097
LEONARDVILLE NURSING HOME,,N081002,Nursing Facility,409 W. BARTON STREET,LEONARDVILLE,RILEY,KS,66449-148,HEATHER A. GERMANN,Inspection Results and Facility Details,785-293-5244
LEXINGTON PARK ASSISTED LIVING,,N089041, Assisted Living Facility,1021 SW FLEMING COURT,TOPEKA,SHAWNEE,KS,66604-1851,BEN RIGDON,Inspection Results and Facility Details,785-440-0399
LEXINGTON PARK NURSING & POST ACUTE CENTER,,N089007,Nursing Facility,1031 SW FLEMING COURT,TOPEKA,SHAWNEE,KS,66604,MICHAEL L. BOULTON,Inspection Results and Facility Details,785-440-0500
LIFE CARE CENTER OF ANDOVER,,N008007,Nursing Facility,621 W. 21ST STREET,ANDOVER,BUTLER,KS,67002,BRANDON JOHNSON,Inspection Results and Facility Details,316-733-1349
LIFE CARE CENTER OF BURLINGTON,,N016001,Nursing Facility,601 CROSS STREET,BURLINGTON,COFFEY,KS,66839-1105,ELIZABETH STOCKEBRAND,Inspection Results and Facility Details,620-364-2117
LIFE CARE CENTER OF KANSAS CITY,,N105012,Nursing Facility,3231 N. 61ST STREET,KANSAS CITY,WYANDOTTE,KS,66104-1415,MARY JONES,Inspection Results and Facility Details,913-299-1770
LIFE CARE CENTER OF OSAWATOMIE,,N061003,Nursing Facility,1615 PARKER AVENUE,OSAWATOMIE,MIAMI,KS,66064-1703,KATHLEEN SIMPSON,Inspection Results and Facility Details,913-755-4165
LIFE CARE CENTER OF SENECA,,N066002,Nursing Facility,512 COMMUNITY DRIVE,SENECA,NEMAHA,KS,66538,LESA DURYEA,Inspection Results and Facility Details,785-336-3528
LIFE CARE CENTER OF WICHITA,,N087045,Nursing Facility,622 N. EDGEMOOR STREET,WICHITA,SEDGWICK,KS,67208-3602,MATTHEW J. STEPHENSON,Inspection Results and Facility Details,316-686-5100
LINCOLN PARK MANOR INC,,N053001,Nursing Facility<BR> Assisted Living Facility,922 N 5TH ST PO BOX 466,LINCOLN,LINCOLN,KS,67455-466,DIANE WALTERS,Inspection Results and Facility Details,785-524-4428
LINN COMMUNITY NURSING HOME,,N101001,Nursing Facility,612 THIRD ST,LINN,WASHINGTON,KS,66953-9546,JANELL WOHLER,Inspection Results and Facility Details,785-348-5551
LINN PLACE,,N056014,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,1427 LINN AVE,EMPORIA,LYON,KS,66801-3562,LORETTA TORRES,Inspection Results and Facility Details,620-341-9500
LOCUST GROVE VILLAGE,,N083001,Nursing Facility<BR> Assisted Living Facility,701 W. 6TH STREET,LA CROSSE,RUSH,KS,67548,CHARLOTTE RATHKE,Inspection Results and Facility Details,785-222-2574
LOGAN COUNTY SENIOR LIVING INC,,N055002,Nursing Facility,615 PRICE AVE,OAKLEY,LOGAN,KS,67748,SHYANNE HOLZMEISTER,Inspection Results and Facility Details,785-672-8109
LOGAN MANOR COMMUNITY HEALTH SERVICES,,N074001,Nursing Facility<BR> Assisted Living Facility,"108 S. ADAMS, PO BOX 308",LOGAN,PHILLIPS,KS,67646-308,TERESA M. MCCOMB,Inspection Results and Facility Details,785-689-4201
LOIS HOUSE LLC,,B087267,Home Plus,2758 N WELLESLEY AVE,WICHITA,SEDGWICK,KS,67220,TRACY ALLEN,Inspection Results and Facility Details,316-461-2235
"LOVE MANAGEMENT COMPANY, LLC",ALTO,N046102, Assisted Living Facility<BR> Residential Health Care Facility,10300 INDIAN CREEK PARKWAY,OVERLAND PARK,JOHNSON,KS,66210,ANGELA BURGOON,Inspection Results and Facility Details,913-354-6575
LOVING CARE OF MCPHERSON,,B059006,Home Plus,1411 DOVER ROAD,MCPHERSON,MCPHERSON,KS,67460-1722,DEJA HOUSE,Inspection Results and Facility Details,620-718-5047
LOVING HEARTS LLC,,B087201,Home Plus,2311 W WESTPORT ST,WICHITA,SEDGWICK,KS,67203,ITANZA M CLARK,Inspection Results and Facility Details,316-239-6726
LW HUTCHINSON OPCO LLC,LEGEND OF HUTCHINSON,N078015, Assisted Living Facility,2416 BRENTWOOD STREET,HUTCHINSON,RENO,KS,67502-5000,AMY BENNETT,Inspection Results and Facility Details,620-663-9195
MANHATTAN RETIREMENT FOUNDATION INC,MEADOWLARK HILLS,N081004,Nursing Facility<BR> Assisted Living Facility,2121 MEADOWLARK ROAD,MANHATTAN,RILEY,KS,66502-4569,ANNA LEE PEACE BOWYER,Inspection Results and Facility Details,785-537-4610
MAPLE HILLS HEALTHCARE INC,SHAWNEE POST ACUTE REHABILITATION CENTER,N046093,Nursing Facility<BR> Assisted Living Facility,7600 ANTIOCH RD,OVERLAND PARK,JOHNSON,KS,66204,JACQUELYN BROWN,Inspection Results and Facility Details,913-383-2001
MARIA COURT,,N096011, Assisted Living Facility,633 E MAIN STREET,MULVANE,SUMNER,KS,67110,TERESA BALLARD,Inspection Results and Facility Details,316-777-9917
MARION ASSISTED LIVING COMMUNITY LLC,MARION ASSISTED LIVING LLC,N057007, Assisted Living Facility,200 N EISENHOWER DR,MARION,MARION,KS,66861,AMY BOUDREAUX,Inspection Results and Facility Details,620-382-3000
MARQUIS PLACE,,N015008, Assisted Living Facility,205 W 21ST STREET,CONCORDIA,CLOUD,KS,66901,KRISTI BEAM,Inspection Results and Facility Details,785-243-2255
MARSHALL COUNTY ASSISTED LIVING LLC,COUNTRY LIVING IN MARYSVILLE,N058007, Assisted Living Facility,1149 COUNTRY PLACE DRIVE,MARYSVILLE,MARSHALL,KS,66508,KRISTI SCHEELE,Inspection Results and Facility Details,785-562-4001
